locus_tag	ftype	length_bp	gene	EC_number	COG	product
ICLPPAIG_00094	CDS	1506	pepC_1	3.4.22.40		Aminopeptidase C
ICLPPAIG_00095	CDS	1359				hypothetical protein
ICLPPAIG_00096	CDS	219				hypothetical protein
ICLPPAIG_00097	CDS	1764				hypothetical protein
ICLPPAIG_00098	CDS	1608				hypothetical protein
ICLPPAIG_00099	CDS	375	atpF_1			A-type ATP synthase subunit F
ICLPPAIG_00100	CDS	234				hypothetical protein
ICLPPAIG_00101	CDS	240				hypothetical protein
ICLPPAIG_00102	CDS	1332				hypothetical protein
ICLPPAIG_00103	CDS	285				hypothetical protein
ICLPPAIG_00104	CDS	1524				hypothetical protein
ICLPPAIG_00105	CDS	159				hypothetical protein
ICLPPAIG_00106	CDS	174				hypothetical protein
ICLPPAIG_00107	CDS	819			COG0217	putative transcriptional regulatory protein
ICLPPAIG_00108	CDS	369				hypothetical protein
ICLPPAIG_00109	CDS	249				hypothetical protein
ICLPPAIG_00110	CDS	195				hypothetical protein
ICLPPAIG_00111	CDS	210				hypothetical protein
ICLPPAIG_00112	CDS	204				hypothetical protein
ICLPPAIG_00113	CDS	960				hypothetical protein
ICLPPAIG_00114	CDS	258				hypothetical protein
ICLPPAIG_00115	CDS	222				hypothetical protein
ICLPPAIG_00116	CDS	288				hypothetical protein
ICLPPAIG_00117	CDS	1530				hypothetical protein
ICLPPAIG_00118	CDS	909	lat_1	2.6.1.36		L-lysine-epsilon aminotransferase
ICLPPAIG_00119	CDS	219				hypothetical protein
ICLPPAIG_00120	CDS	165				hypothetical protein
ICLPPAIG_00121	CDS	261				hypothetical protein
ICLPPAIG_00122	CDS	2334				hypothetical protein
ICLPPAIG_00123	CDS	609	lysJ	2.6.1.124		[LysW]-aminoadipate semialdehyde/glutamate semialdehyde transaminase
ICLPPAIG_00124	CDS	726				hypothetical protein
ICLPPAIG_00125	CDS	144				hypothetical protein
ICLPPAIG_00126	CDS	237				hypothetical protein
ICLPPAIG_00127	CDS	312				hypothetical protein
ICLPPAIG_00128	CDS	186				hypothetical protein
ICLPPAIG_00129	CDS	177				hypothetical protein
ICLPPAIG_00130	CDS	756				hypothetical protein
ICLPPAIG_00131	CDS	843				hypothetical protein
ICLPPAIG_00132	CDS	201				hypothetical protein
ICLPPAIG_00133	CDS	138				hypothetical protein
ICLPPAIG_00134	CDS	336				hypothetical protein
ICLPPAIG_00135	CDS	222				hypothetical protein
ICLPPAIG_00136	CDS	774				hypothetical protein
ICLPPAIG_00137	CDS	120				hypothetical protein
ICLPPAIG_00138	CDS	198				hypothetical protein
ICLPPAIG_00139	CDS	408				hypothetical protein
ICLPPAIG_00140	CDS	2298				hypothetical protein
ICLPPAIG_00141	CDS	1464	pkwA_1	2.7.11.1		putative serine/threonine-protein kinase PkwA
ICLPPAIG_00142	CDS	183				hypothetical protein
ICLPPAIG_00143	CDS	96				hypothetical protein
ICLPPAIG_00144	CDS	1554	niaP_1		COG2814	Niacin transporter NiaP
ICLPPAIG_00145	CDS	279				hypothetical protein
ICLPPAIG_00146	CDS	180				hypothetical protein
ICLPPAIG_00147	CDS	249				hypothetical protein
ICLPPAIG_00148	CDS	639				hypothetical protein
ICLPPAIG_00149	CDS	270				hypothetical protein
ICLPPAIG_00150	CDS	165				hypothetical protein
ICLPPAIG_00151	CDS	234				hypothetical protein
ICLPPAIG_00152	CDS	513				hypothetical protein
ICLPPAIG_00153	CDS	165				hypothetical protein
ICLPPAIG_00154	CDS	432				hypothetical protein
ICLPPAIG_00155	CDS	2352				hypothetical protein
ICLPPAIG_00156	CDS	696				hypothetical protein
ICLPPAIG_00157	CDS	417				hypothetical protein
ICLPPAIG_00158	CDS	135				hypothetical protein
ICLPPAIG_00159	CDS	180				hypothetical protein
ICLPPAIG_00160	CDS	1995				hypothetical protein
ICLPPAIG_00161	CDS	480				hypothetical protein
ICLPPAIG_00162	CDS	1794				hypothetical protein
ICLPPAIG_00163	CDS	183				hypothetical protein
ICLPPAIG_00164	CDS	171				hypothetical protein
ICLPPAIG_00165	CDS	348				hypothetical protein
ICLPPAIG_00166	CDS	225				hypothetical protein
ICLPPAIG_00167	CDS	261				hypothetical protein
ICLPPAIG_00168	CDS	360				hypothetical protein
ICLPPAIG_00169	CDS	246				hypothetical protein
ICLPPAIG_00170	CDS	621				hypothetical protein
ICLPPAIG_00171	CDS	435				hypothetical protein
ICLPPAIG_00172	CDS	894				hypothetical protein
ICLPPAIG_00173	CDS	207				hypothetical protein
ICLPPAIG_00174	CDS	1080				hypothetical protein
ICLPPAIG_00175	CDS	237				hypothetical protein
ICLPPAIG_00176	CDS	165				hypothetical protein
ICLPPAIG_00177	CDS	147				hypothetical protein
ICLPPAIG_00178	CDS	279				hypothetical protein
ICLPPAIG_00179	CDS	108				hypothetical protein
ICLPPAIG_00180	CDS	234				hypothetical protein
ICLPPAIG_00181	CDS	312				hypothetical protein
ICLPPAIG_00182	CDS	612	rpsR_1			Small ribosomal subunit protein bS18
ICLPPAIG_00183	CDS	237				hypothetical protein
ICLPPAIG_00184	CDS	114				hypothetical protein
ICLPPAIG_00185	CDS	135				hypothetical protein
ICLPPAIG_00186	CDS	192				hypothetical protein
ICLPPAIG_00187	CDS	171				hypothetical protein
ICLPPAIG_00188	CDS	132				hypothetical protein
ICLPPAIG_00189	CDS	945				hypothetical protein
ICLPPAIG_00190	CDS	2196				hypothetical protein
ICLPPAIG_00191	CDS	183				hypothetical protein
ICLPPAIG_00192	CDS	189				hypothetical protein
ICLPPAIG_00193	CDS	258				hypothetical protein
ICLPPAIG_00194	CDS	1356				hypothetical protein
ICLPPAIG_00195	CDS	2814				hypothetical protein
ICLPPAIG_00196	CDS	279				hypothetical protein
ICLPPAIG_00197	CDS	291				hypothetical protein
ICLPPAIG_00198	CDS	222				hypothetical protein
ICLPPAIG_00199	CDS	201				hypothetical protein
ICLPPAIG_00200	CDS	1575				hypothetical protein
ICLPPAIG_00201	CDS	219				hypothetical protein
ICLPPAIG_00202	CDS	198				hypothetical protein
ICLPPAIG_00203	CDS	216				hypothetical protein
ICLPPAIG_00204	CDS	267				hypothetical protein
ICLPPAIG_00205	CDS	1719				hypothetical protein
ICLPPAIG_00206	CDS	135				hypothetical protein
ICLPPAIG_00207	CDS	1197	pknD_2	2.7.11.1		Serine/threonine-protein kinase PknD
ICLPPAIG_00208	CDS	207				hypothetical protein
ICLPPAIG_00209	CDS	1332				hypothetical protein
ICLPPAIG_00210	CDS	267				hypothetical protein
ICLPPAIG_00211	CDS	366				hypothetical protein
ICLPPAIG_00212	CDS	162				hypothetical protein
ICLPPAIG_00213	CDS	138				hypothetical protein
ICLPPAIG_00214	CDS	153				hypothetical protein
ICLPPAIG_00215	CDS	186				hypothetical protein
ICLPPAIG_00216	CDS	714				hypothetical protein
ICLPPAIG_00217	CDS	288				hypothetical protein
ICLPPAIG_00218	CDS	1653	aceAb_1	4.1.3.1		Isocitrate lyase 2
ICLPPAIG_00219	CDS	219				hypothetical protein
ICLPPAIG_00220	CDS	180				hypothetical protein
ICLPPAIG_00221	CDS	150				hypothetical protein
ICLPPAIG_00222	CDS	945				hypothetical protein
ICLPPAIG_00223	CDS	324				hypothetical protein
ICLPPAIG_00224	CDS	246				hypothetical protein
ICLPPAIG_00225	CDS	1419				hypothetical protein
ICLPPAIG_00226	CDS	114				hypothetical protein
ICLPPAIG_00227	CDS	765	gpmA_1	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
ICLPPAIG_00228	CDS	249				hypothetical protein
ICLPPAIG_00229	CDS	204				hypothetical protein
ICLPPAIG_00230	CDS	5028				hypothetical protein
ICLPPAIG_00231	CDS	303				hypothetical protein
ICLPPAIG_00232	CDS	675				hypothetical protein
ICLPPAIG_00233	CDS	198				hypothetical protein
ICLPPAIG_00234	CDS	207				hypothetical protein
ICLPPAIG_00235	CDS	180				hypothetical protein
ICLPPAIG_00236	CDS	96				hypothetical protein
ICLPPAIG_00237	CDS	312				hypothetical protein
ICLPPAIG_00238	CDS	447				hypothetical protein
ICLPPAIG_00239	CDS	411				hypothetical protein
ICLPPAIG_00240	CDS	123				hypothetical protein
ICLPPAIG_00241	CDS	1191				hypothetical protein
ICLPPAIG_00242	CDS	171				hypothetical protein
ICLPPAIG_00243	CDS	1488				hypothetical protein
ICLPPAIG_00244	CDS	2061	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
ICLPPAIG_00245	CDS	144				hypothetical protein
ICLPPAIG_00246	CDS	1935	dnaK_1			Chaperone protein DnaK
ICLPPAIG_00247	CDS	1668				hypothetical protein
ICLPPAIG_00248	CDS	132				hypothetical protein
ICLPPAIG_00249	CDS	1629				hypothetical protein
ICLPPAIG_00250	CDS	228				hypothetical protein
ICLPPAIG_00251	CDS	177				hypothetical protein
ICLPPAIG_00252	CDS	798				hypothetical protein
ICLPPAIG_00253	CDS	156				hypothetical protein
ICLPPAIG_00254	CDS	180				hypothetical protein
ICLPPAIG_00255	CDS	231				hypothetical protein
ICLPPAIG_00256	CDS	1254				hypothetical protein
ICLPPAIG_00257	CDS	231				hypothetical protein
ICLPPAIG_00258	CDS	129				hypothetical protein
ICLPPAIG_00259	CDS	522				hypothetical protein
ICLPPAIG_00260	CDS	153				hypothetical protein
ICLPPAIG_00261	CDS	423				hypothetical protein
ICLPPAIG_00262	CDS	321				hypothetical protein
ICLPPAIG_00263	CDS	138				hypothetical protein
ICLPPAIG_00264	CDS	162				hypothetical protein
ICLPPAIG_00265	CDS	3549	pknD_3	2.7.11.1		Serine/threonine-protein kinase PknD
ICLPPAIG_00266	CDS	2550	pknD_4	2.7.11.1		Serine/threonine-protein kinase PknD
ICLPPAIG_00267	CDS	9345				hypothetical protein
ICLPPAIG_00268	CDS	1020	fmt_1	2.1.2.9		Methionyl-tRNA formyltransferase
ICLPPAIG_00269	CDS	456				hypothetical protein
ICLPPAIG_00270	CDS	471				hypothetical protein
ICLPPAIG_00271	CDS	249				hypothetical protein
ICLPPAIG_00272	CDS	207				hypothetical protein
ICLPPAIG_00273	CDS	411				hypothetical protein
ICLPPAIG_00274	CDS	1449				hypothetical protein
ICLPPAIG_00275	CDS	138				hypothetical protein
ICLPPAIG_00276	CDS	174				hypothetical protein
ICLPPAIG_00277	CDS	153				hypothetical protein
ICLPPAIG_00278	CDS	243				hypothetical protein
ICLPPAIG_00279	CDS	1026				hypothetical protein
ICLPPAIG_00280	CDS	369				hypothetical protein
ICLPPAIG_00281	CDS	273				hypothetical protein
ICLPPAIG_00282	CDS	2106	trpB_1	4.2.1.20		Tryptophan synthase beta chain
ICLPPAIG_00283	CDS	2763				hypothetical protein
ICLPPAIG_00284	CDS	234				hypothetical protein
ICLPPAIG_00285	CDS	2925				hypothetical protein
ICLPPAIG_00286	CDS	3627				hypothetical protein
ICLPPAIG_00287	CDS	477				hypothetical protein
ICLPPAIG_00288	CDS	282				hypothetical protein
ICLPPAIG_00289	CDS	174				hypothetical protein
ICLPPAIG_00290	CDS	621	murG_1	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
ICLPPAIG_00291	CDS	282				hypothetical protein
ICLPPAIG_00292	CDS	288				hypothetical protein
ICLPPAIG_00293	CDS	162				hypothetical protein
ICLPPAIG_00294	CDS	204				hypothetical protein
ICLPPAIG_00295	CDS	459				hypothetical protein
ICLPPAIG_00296	CDS	3480				hypothetical protein
ICLPPAIG_00297	CDS	219				hypothetical protein
ICLPPAIG_00298	CDS	168				hypothetical protein
ICLPPAIG_00299	CDS	147				hypothetical protein
ICLPPAIG_00300	CDS	174				hypothetical protein
ICLPPAIG_00301	CDS	1728	dusB_1	1.3.1.-		tRNA-dihydrouridine synthase B
ICLPPAIG_00302	CDS	333				hypothetical protein
ICLPPAIG_00303	CDS	126				hypothetical protein
ICLPPAIG_00304	CDS	795				hypothetical protein
ICLPPAIG_00305	CDS	5043				hypothetical protein
ICLPPAIG_00306	CDS	1524				hypothetical protein
ICLPPAIG_00307	CDS	1032				hypothetical protein
ICLPPAIG_00308	CDS	291				hypothetical protein
ICLPPAIG_00309	CDS	201				hypothetical protein
ICLPPAIG_00310	CDS	1299				hypothetical protein
ICLPPAIG_00311	CDS	282				hypothetical protein
ICLPPAIG_00312	CDS	150				hypothetical protein
ICLPPAIG_00313	CDS	273				hypothetical protein
ICLPPAIG_00314	CDS	360				hypothetical protein
ICLPPAIG_00315	CDS	201				hypothetical protein
ICLPPAIG_00316	CDS	237				hypothetical protein
ICLPPAIG_00317	CDS	192				hypothetical protein
ICLPPAIG_00318	CDS	2082				hypothetical protein
ICLPPAIG_00319	CDS	336				hypothetical protein
ICLPPAIG_00320	CDS	2682	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
ICLPPAIG_00321	CDS	975	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
ICLPPAIG_00322	CDS	903	nit1_1	3.5.1.128		Deaminated glutathione amidase
ICLPPAIG_00323	CDS	2088				hypothetical protein
ICLPPAIG_00324	CDS	192				hypothetical protein
ICLPPAIG_00325	CDS	297				hypothetical protein
ICLPPAIG_00326	CDS	1647				hypothetical protein
ICLPPAIG_00327	CDS	285				hypothetical protein
ICLPPAIG_00328	CDS	1008	ydiB_1	1.1.1.282	COG0169	Quinate/shikimate dehydrogenase
ICLPPAIG_00329	CDS	1899	ydiU_1	2.7.7.-	COG0397	Protein nucleotidyltransferase YdiU
ICLPPAIG_00330	CDS	336				hypothetical protein
ICLPPAIG_00331	CDS	150				hypothetical protein
ICLPPAIG_00332	CDS	1128				hypothetical protein
ICLPPAIG_00333	CDS	243				hypothetical protein
ICLPPAIG_00334	CDS	159				hypothetical protein
ICLPPAIG_00335	CDS	864				hypothetical protein
ICLPPAIG_00336	CDS	345				hypothetical protein
ICLPPAIG_00337	CDS	162				hypothetical protein
ICLPPAIG_00338	CDS	276				hypothetical protein
ICLPPAIG_00339	CDS	1002				hypothetical protein
ICLPPAIG_00340	CDS	1401				hypothetical protein
ICLPPAIG_00341	CDS	183				hypothetical protein
ICLPPAIG_00342	CDS	141				hypothetical protein
ICLPPAIG_00343	CDS	195				hypothetical protein
ICLPPAIG_00344	CDS	744				hypothetical protein
ICLPPAIG_00345	CDS	213				hypothetical protein
ICLPPAIG_00346	CDS	249				hypothetical protein
ICLPPAIG_00347	CDS	294				hypothetical protein
ICLPPAIG_00348	CDS	1254	map_1	3.4.11.18		Methionine aminopeptidase
ICLPPAIG_00349	CDS	1227				hypothetical protein
ICLPPAIG_00350	CDS	108				hypothetical protein
ICLPPAIG_00351	CDS	1803				hypothetical protein
ICLPPAIG_00352	CDS	198				hypothetical protein
ICLPPAIG_00353	CDS	714				hypothetical protein
ICLPPAIG_00354	CDS	222				hypothetical protein
ICLPPAIG_00355	CDS	135				hypothetical protein
ICLPPAIG_00356	CDS	255				hypothetical protein
ICLPPAIG_00357	CDS	96				hypothetical protein
ICLPPAIG_00358	CDS	126				hypothetical protein
ICLPPAIG_00359	CDS	198				hypothetical protein
ICLPPAIG_00360	CDS	279				hypothetical protein
ICLPPAIG_00361	CDS	2667				hypothetical protein
ICLPPAIG_00362	CDS	1230	rlmE_1	2.1.1.166		Ribosomal RNA large subunit methyltransferase E
ICLPPAIG_00363	CDS	261				hypothetical protein
ICLPPAIG_00364	CDS	264				hypothetical protein
ICLPPAIG_00365	CDS	210				hypothetical protein
ICLPPAIG_00366	CDS	294				hypothetical protein
ICLPPAIG_00367	CDS	651				hypothetical protein
ICLPPAIG_00368	CDS	1503	coaBC_1	6.3.2.5		Coenzyme A biosynthesis bifunctional protein CoaBC
ICLPPAIG_00369	CDS	1407				hypothetical protein
ICLPPAIG_00370	CDS	231				hypothetical protein
ICLPPAIG_00371	CDS	453				hypothetical protein
ICLPPAIG_00372	CDS	1797				hypothetical protein
ICLPPAIG_00373	CDS	207				hypothetical protein
ICLPPAIG_00374	CDS	255				hypothetical protein
ICLPPAIG_00375	CDS	210				hypothetical protein
ICLPPAIG_00376	CDS	237				hypothetical protein
ICLPPAIG_00377	CDS	171				hypothetical protein
ICLPPAIG_00378	CDS	282				hypothetical protein
ICLPPAIG_00379	CDS	240				hypothetical protein
ICLPPAIG_00380	CDS	1026				hypothetical protein
ICLPPAIG_00381	CDS	1107				hypothetical protein
ICLPPAIG_00382	CDS	204				hypothetical protein
ICLPPAIG_00383	CDS	1911	der_1			GTPase Der
ICLPPAIG_00384	CDS	207				hypothetical protein
ICLPPAIG_00385	CDS	210				hypothetical protein
ICLPPAIG_00386	CDS	141				hypothetical protein
ICLPPAIG_00387	CDS	108				hypothetical protein
ICLPPAIG_00388	CDS	150				hypothetical protein
ICLPPAIG_00389	CDS	168				hypothetical protein
ICLPPAIG_00390	CDS	273				hypothetical protein
ICLPPAIG_00391	CDS	2505				hypothetical protein
ICLPPAIG_00392	CDS	321				hypothetical protein
ICLPPAIG_00393	CDS	1341				hypothetical protein
ICLPPAIG_00394	CDS	690				hypothetical protein
ICLPPAIG_00395	CDS	204				hypothetical protein
ICLPPAIG_00396	CDS	168				hypothetical protein
ICLPPAIG_00397	CDS	903				hypothetical protein
ICLPPAIG_00398	CDS	174				hypothetical protein
ICLPPAIG_00399	CDS	1833				hypothetical protein
ICLPPAIG_00400	CDS	4323				hypothetical protein
ICLPPAIG_00401	CDS	879				hypothetical protein
ICLPPAIG_00402	CDS	222				hypothetical protein
ICLPPAIG_00403	CDS	138				hypothetical protein
ICLPPAIG_00404	CDS	2931	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
ICLPPAIG_00405	CDS	606				hypothetical protein
ICLPPAIG_00406	CDS	1320				hypothetical protein
ICLPPAIG_00407	CDS	225				hypothetical protein
ICLPPAIG_00408	CDS	2118	recD2_1	5.6.2.3		ATP-dependent RecD2 DNA helicase
ICLPPAIG_00409	CDS	1437				hypothetical protein
ICLPPAIG_00410	CDS	171				hypothetical protein
ICLPPAIG_00411	CDS	765				hypothetical protein
ICLPPAIG_00412	CDS	261				hypothetical protein
ICLPPAIG_00413	CDS	1662				hypothetical protein
ICLPPAIG_00414	CDS	1245				hypothetical protein
ICLPPAIG_00415	CDS	1536				hypothetical protein
ICLPPAIG_00416	CDS	3696				hypothetical protein
ICLPPAIG_00417	CDS	2763				hypothetical protein
ICLPPAIG_00418	CDS	1764	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
ICLPPAIG_00419	CDS	1476				hypothetical protein
ICLPPAIG_00420	CDS	291				hypothetical protein
ICLPPAIG_00421	CDS	144				hypothetical protein
ICLPPAIG_00422	CDS	1251				hypothetical protein
ICLPPAIG_00423	CDS	240				hypothetical protein
ICLPPAIG_00424	CDS	1695				hypothetical protein
ICLPPAIG_00425	CDS	153				hypothetical protein
ICLPPAIG_00426	CDS	615				hypothetical protein
ICLPPAIG_00427	CDS	612				hypothetical protein
ICLPPAIG_00428	CDS	2274				hypothetical protein
ICLPPAIG_00429	CDS	207				hypothetical protein
ICLPPAIG_00430	CDS	189				hypothetical protein
ICLPPAIG_00431	CDS	2403				hypothetical protein
ICLPPAIG_00432	CDS	2514				hypothetical protein
ICLPPAIG_00433	CDS	1725				hypothetical protein
ICLPPAIG_00434	CDS	162				hypothetical protein
ICLPPAIG_00435	CDS	990				hypothetical protein
ICLPPAIG_00436	CDS	450				hypothetical protein
ICLPPAIG_00437	CDS	207				hypothetical protein
ICLPPAIG_00438	CDS	1242				hypothetical protein
ICLPPAIG_00439	CDS	918				hypothetical protein
ICLPPAIG_00440	CDS	318				hypothetical protein
ICLPPAIG_00441	CDS	1083				hypothetical protein
ICLPPAIG_00442	CDS	321				hypothetical protein
ICLPPAIG_00443	CDS	252				hypothetical protein
ICLPPAIG_00444	CDS	276				hypothetical protein
ICLPPAIG_00445	CDS	1068				hypothetical protein
ICLPPAIG_00446	CDS	186				hypothetical protein
ICLPPAIG_00447	CDS	111				hypothetical protein
ICLPPAIG_00448	CDS	594				hypothetical protein
ICLPPAIG_00449	CDS	159				hypothetical protein
ICLPPAIG_00450	CDS	1707				hypothetical protein
ICLPPAIG_00451	CDS	252				hypothetical protein
ICLPPAIG_00452	CDS	420				hypothetical protein
ICLPPAIG_00453	CDS	423				hypothetical protein
ICLPPAIG_00454	CDS	426				hypothetical protein
ICLPPAIG_00455	CDS	429				hypothetical protein
ICLPPAIG_00456	CDS	114				hypothetical protein
ICLPPAIG_00457	CDS	162				hypothetical protein
ICLPPAIG_00458	CDS	669	pdxH_1	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
ICLPPAIG_00459	CDS	909		1.6.5.2		NAD(P)H dehydrogenase (quinone)
ICLPPAIG_00460	CDS	789		1.6.5.2		NAD(P)H dehydrogenase (quinone)
ICLPPAIG_00461	CDS	381				hypothetical protein
ICLPPAIG_00462	CDS	162				hypothetical protein
ICLPPAIG_00463	CDS	177				hypothetical protein
ICLPPAIG_00464	CDS	951				hypothetical protein
ICLPPAIG_00465	CDS	210				hypothetical protein
ICLPPAIG_00466	CDS	351				hypothetical protein
ICLPPAIG_00467	CDS	297				hypothetical protein
ICLPPAIG_00468	CDS	240				hypothetical protein
ICLPPAIG_00469	CDS	966				hypothetical protein
ICLPPAIG_00470	CDS	123				hypothetical protein
ICLPPAIG_00471	CDS	189				hypothetical protein
ICLPPAIG_00472	CDS	318				hypothetical protein
ICLPPAIG_00473	CDS	246				hypothetical protein
ICLPPAIG_00474	CDS	2112				hypothetical protein
ICLPPAIG_00475	CDS	2109				hypothetical protein
ICLPPAIG_00476	CDS	207				hypothetical protein
ICLPPAIG_00477	CDS	198				hypothetical protein
ICLPPAIG_00478	CDS	873				hypothetical protein
ICLPPAIG_00479	CDS	1665				hypothetical protein
ICLPPAIG_00480	CDS	183				hypothetical protein
ICLPPAIG_00481	CDS	576				hypothetical protein
ICLPPAIG_00482	CDS	219				hypothetical protein
ICLPPAIG_00483	CDS	2421				hypothetical protein
ICLPPAIG_00484	CDS	489				hypothetical protein
ICLPPAIG_00485	CDS	153				hypothetical protein
ICLPPAIG_00486	CDS	207				hypothetical protein
ICLPPAIG_00487	CDS	1506				hypothetical protein
ICLPPAIG_00488	CDS	2616				hypothetical protein
ICLPPAIG_00489	CDS	117				hypothetical protein
ICLPPAIG_00490	CDS	243				hypothetical protein
ICLPPAIG_00491	CDS	207				hypothetical protein
ICLPPAIG_00492	CDS	210				hypothetical protein
ICLPPAIG_00493	CDS	1077	ftsH_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
ICLPPAIG_00494	CDS	267				hypothetical protein
